,,,,,,,,,,
,,,,,,,,,,
Sl. No.,Name of NGOs,Address,Reg. No,Reg. Date,Renewed on,Valid till,District,Country,Remarks,
15,Acid Survivours Foundation,"House-12, Road-22, Block-K, Banani Model Town, Dhaka
Phone : 9891314, 9880142
www.acidsurvirors.org",1501,09-04-00,09-04-10,09-04-15,Dhaka,Bangladesh,,
16,Acrapital Lead Organisation (ALO),"279/A, Tejgaon Industrial Area, Dhaka.
Phone : 01715-698008",1803,03-02-03,03-02-08,03-02-13,Dhaka,Bangladesh,,
17,Action Aid- Bangladesh,"House- 8, Road-136, Gulshan-1, Dhaka
Phone :9888006, 55044851-7
www.actionaid.org",0210,27-04-86,27-04-16,27-04-21,Dhaka,UK,,
18,Action Contre La Faim,"House-23, Road-113/A, Gulshan-2, Dhaka.
Phone: 8810132, 8810347
www.actioncontrelafaim.org",2330,03-04-08,03-04-13,03-04-18,Dhaka,France,,
19,Action Five,"Gaokura, Kacharipara, Islampur, Jamalpur
Phone: 01728-782643",2830,04-11-13,,04-11-18,Jamalpur,Bangladesh,,
20,Action for Enterprise,"House-03, Apt. 3A4, Nam Villa, Road- 06, Gulshan-01, Dhaka-1212
Phone: 8817277 E-mail:
info@actionforenterprise.org",2427,28-04-09,28-04-14,28-04-19,Dhaka,USA,,
21,Action for Rural Poor (ARP),"Upazila Road, Bakshigonj, Jamalpur Phone: 01716-763785",2796,27-06-13,,27-06-18,Jamalpur,Bangladesh,,
22,Action for Social Development (ASD),"6/2A, Sir Syed Road, Mohammadpur, Dhaka.
Phone : 9118475, Fax: 9118475
www.asd.org.bd",0488,08-06-91,08-06-11,08-06-16,Dhaka,Bangladesh,,
23,Action in Bangladesh,"Sadar Road, Kalai, P.O Box No. 5390, Kalai, Joypurhat.
Phone: 215-222-442",2601,05-10-10,,05-10-15,Joypurhat,Bangladesh,,
24,Action In Development (AID),"AID Complex, Shatbaria, Jhenaidah Phone : 0451-61188-9, Fax: 0541-
61196
email: info@aid-bd.org www.aid-bd.org",1319,30-11-98,30-11-13,30-11-18,Jhenaidah,Bangladesh,,
25,Action on Disability & Development,"House-56, Road-11, Block-C, Banani, Dhaka.
Phone : 8832037, Fax: 8831228
www.add.org.bd, mosharraf.doc@gmail.com",0804,13-02-94,13-02-13,13-02-18,Dhaka,UK,,
26,ADAMS (Association for Development Activity of Manifold Social Work),"Kedarnath Road, Moheswarpasha, Post. B.I.T. Khulna
Phone : 041-774426, Fax: 041-
774048",0855,13-09-94,13-09-14,13-09-19,Khulna,Bangladesh,,
27,Adarsha Kajer Sandhanay (AKAS),"House-28, Masjidbari Road (Takdari Patti), P.O.+P.S.+Dist.: Jhalokathi. Phone: 01711-286349, 01717-
655622",2434,05-06-09,,05-06-14,Jhalokathi,Bangladesh,,
28,Adarsha Palli Unnayan Sangstha,"Vill. Kandail, P.O. Ahammedpur Bazar, Natore",0405,13-11-90,13-11-95,13-11-00,Natore,Bangladesh,,
29,Ad-Din Welfare Centre,"15, Rail Road, Jessore
Phone : 0421-68820, Fax: 0421-
68807",0347,30-01-90,30-01-15,30-01-20,Jessore,Bangladesh,,
30,Adhikar Unnayan Sangstha,"House-67/A, (2nd Floor), Road-8/A, Dhanmondi, Dhaka.
Phone: 9115180",2421,15-03-09,,15-03-14,Dhaka,Bangladesh,,
31,Adhunik,"63, Central Road, Dhanmondi, Dhaka-1205
Phone: 02-8614959",1149,29-03-97,20-03-12,20-03-17,Dhaka,Bangladesh,,
32,Adhunika Bangladesh Society (ABS),"107/1 Azimpur Road, Azimpur, Dhaka-1205",2270,12-09-07,,12-09-12,Dhaka,Bangladesh,,
33,Adibashi Unnayan Sangstha,"Hazra Villa, Holding No-54, Betiapara, Park Gate, Vatapara, Rajshahi-6000.
Phone: 01715-210096",1190,01-10-97,01-10-12,01-10-17,Rajshahi,Bangladesh,,
34,Adibasi Development Organization (ADO),"Chakbeni, Post.: Jabaripur Hat, Upazila: Badalgachi, Dist.: Nowgaon",2341,21-04-08,,21-04-13,Naogaon,Bangladesh,,
35,Adivashi Samaj Unnayan Sangstha,"Bengozol, Natore. Phone: 01711-574420",2599,30-09-10,30-09-15,30-09-20,Natore,Bangladesh,,
36,ADORE,"111 (Old-65), Islampur Road, Khulna- 9100
Phone: 041-733378",1593,07-12-00,07-12-10,07-12-15,Khulna,Bangladesh,,
37,Advancing Public Interest Trust (APIT),"42, Satmasjid Road, Dhanmondhi, Dhaka.",2079,06-03-06,,06-03-11,Dhaka,Bangladesh,,
38,Adventist Development & Relief Agency International (ADRA),"149, Shah Ali Bagh, Mirpur-1, Dhaka Phone : 8014096
www.adrabd.org",0073,22-04-81,15-05-15,15-05-20,Dhaka,USA,,
39,Agape,"Noni Bhaban (4th Floor), Uzani Para, Bandarban-4600
Phone: 0361-63255, Fax: 0361-
63255",2166,23-11-06,23-11-11,23-11-16,Bandarban,Bangladesh,,
40,Agape Bangladesh,"Vill.: Goaljani, Post: Purnimagati, Upazilla: Ullapara, Dist: Sirajgonj.",2032,21-04-05,21-04-10,21-04-15,Sirajganj,Bangladesh,,
41,Agape Social Concern,"39/1 Indira Road, West Rajabazar, Farmgate, Dhaka.
Phone: 9114299, Fax: 8122286",1135,13-02-97,13-02-12,13-02-17,Dhaka,Bangladesh,,
42,Agency for Integrated Development,"237 Bhagalpur, Savar, Dhaka Phone: 01715-110494",0406,13-11-90,13-10-05,13-10-10,Dhaka,Bangladesh,,
43,Agragati,"Kak Bandhal, Sarutia, Thana: Keshabpur, Jessore",0746,02-09-93,02-09-03,02-09-08,Jessore,Bangladesh,,
44,Agragati Seba Sangstha (ASS),"Jangua, Nowakandi, Moulavibazar Phone: 01266287800",2592,29-08-10,29-08-15,29-08-20,Moulavibazar,Bangladesh,,
45,Agrajatra Samaj Unnayan Sangstha,"Rajarhat, PO & PS: Rajarhat, Dist: Kurigram
Phone: 01928-993070",2747,18-11-12,,18-11-17,Kurigram,Bangladesh,,
46,Agrajattra,"126, Jamal Khan Road (3rd Floor), PO: Anderkilla, PS: Kotwali, Chittagong.
Phone: 031-612352, Fax: 031-
612352",2093,08-05-06,08-05-11,08-05-16,Chittagong,Bangladesh,,
47,Agrani Mohila Unnayan Sangstha,"226, Tatipara, Nilganj, Jessore-7400. Phone : 0421-74036",1880,15-10-03,,15-10-08,Jessore,Bangladesh,"Cancelled on 13/04/2010,
Revived on 29/09/2011",
48,Agrasar Buddha Anathalaya,"Vill: Hoarapara, PO: East Gogra, Raozan, Chittagong
Phone: 01817-724360",0081,22-04-81,15-05-15,15-05-20,Chittagong,Bangladesh,,
49,Agrasara Memorial Society of Bangladesh,"Hoarapara, P.O.: East Gugra, P.S.: Rawzan, Dist.: Chittagong",2478,13-09-09,,13-09-14,Chittagong,Bangladesh,,
50,Agriculture Advisory Society,"House-1/6 (G floor), Block-G, Lalmatia, Dhaka-1207  Phone: 8113645
www.aas-bd.org",1015,04-03-96,04-03-16,04-03-21,Dhaka,Bangladesh,,
51,Agriculture Sustainable and Socio Economic Development Organization (ASSEDO),"House-575, Road-01, Padma R/A, Vadra, Rajshahi.
Phone: 01711-016076",2103,08-06-06,08-06-11,08-06-16,Rajshahi,Bangladesh,,
52,Agrogoti Sangstha,"Cold Storage More, Mil Bazar, Satkhira.
Phone: 0471-63870
www.agrogoti.org",1963,23-09-04,23-09-14,23-09-19,Sathkhira,Bangladesh,,
53,Aid Bangla,"1, Outer Circular Road, Malibagh, Dhaka-1217
Phone: 9349681",1857,20-07-03,20-07-08,20-07-13,Dhaka,Bangladesh,"Cancelled on 25/10/2010,
Revived on 18/08/2011",
54,Aid for Poor People (APP),"House-801, Road-14, Khilgoan, Block-A, Akota Sarak, Khilgaon, Dhaka.
Phone: 7215830, 01711-523399",2005,06-02-05,06-02-15,06-02-20,Dhaka,Bangladesh,,
55,Aid Organization,"Amir Kutir, Alekanda, Dist.: Barisal.",2595,05-09-10,,05-09-15,Barisal,Bangladesh,,
56,"AIDA, Ayuda, Intercambio Y Desarrollo","Flat-5A, House-487, Road-08, DOHS Baridhara, Dhaka
Phone: 01745-777219
Www.ong-aida.org",2441,26-05-09,26-05-14,26-05-19,Dhaka,Spain,,
57,Aids Awareness Foundation,"196, Shahjahan Road, Mohammadpur, Dhaka-1207 Phone: 8111402, Fax: 8114513",0883,03-01-95,03-01-15,03-01-20,Dhaka,Bangladesh,,
58,Aiging Resource Centre Bangladesh,"9/2, Block-D (2nd Floor), Lalmatia, Dhaka.",2156,12-11-06,,12-11-11,Dhaka,Bangladesh,,
59,AIMS (Association of Integrated Management for Survivors),"Vill: Thakuradah Union, Berabil, Upazilla: Ganggachara, Dist: Rajshahi
Phone: 01717-676848",2991,22-12-15,,22-12-20,Rajshahi,Bangladesh,,
60,Ain-O-Salish Kendra,"7/17, Block-B, Lalmatia, Dhaka. Phone: 8126047, 8126134
www.askbd.org",0721,28-06-93,28-06-13,28-06-18,Dhaka,Bangladesh,,
61,Akaas Foundation,"A-65, Uttarpara, Saver, Dhaka-1340 Phone: 7741785",2277,11-10-07,11-10-12,11-10-17,Dhaka,Bangladesh,,
62,Akota,"Village: Kumarpara, P.O: Kholahati, Thana+Dist: Gaibandha
Phone: 01711-578422",1434,06-10-99,06-10-14,06-10-19,Gaibandha,Bangladesh,,
63,Akota Samaj Kallyan Sangstha,"Eta Khoka Road, Kacijuly, Mymensingh-2200 Phone: 01715-659369",2451,02-06-09,02-06-14,02-06-19,Mymensingh,Bangladesh,,
64,Akota Samaj Unnayan Sangstha (ASUS),"45, Mitali Road, Rayer Bazar, Dhaka. Phone : 8122550",1580,30-10-00,30-10-05,30-10-10,Dhaka,Bangladesh,,
65,Al Basher International Foundation,"1/9, Block-E, Satmasjid Road, Lalmatia, Dhaka,
Phone :9135451-2, Fax: 8114142",0654,22-09-92,22-09-12,22-09-17,Dhaka,Saudi Arabia,,
66,Al Haramain Islamic Foundation,"House-1, Road-1, Sector-6, Uttara, Dhaka
Phone : 8912120",0648,17-09-92,17-09-02,17-09-07,Dhaka,Saudi Arabia,Office & Operation closed in Bangladesh from 2004.,
67,Al Ihsan Social Development Center,"Vill+Post: Hasara, Upazila: Sreenagar, Dist.: Munshigonj Phone: 01726-151365
www.aiwvc.com",2360,20-05-08,20-05-13,20-05-18,Munshiganj,Bangladesh,,
68,Al Jameatul Islamiah,"P.O. Patiya, Chittagong",0748,09-02-93,02-09-08,02-09-13,Chittagong,Bangladesh,,
69,Al Jameatul Islamiah Al Arabia Mozaher Ulum,"Char Chaktai, Chittagong",0947,20-06-95,,20-06-00,Chittagong,Bangladesh,,
70,Al Markazul Islami,"21/17, Babar Road, Mohammadpur, Dhaka
Phone : 8114980, Fax: 8116739",0685,03-03-93,03-03-13,03-03-18,Dhaka,Bangladesh,,
71,Al -Watan Charitable Society,"Vill+Post: Padua-353, Chouddagram, Comilla
Phone: 01720-691594, 01819-
628685",2402,18-01-09,18-01-14,18-01-19,Comilla,Bangladesh,,
72,Alacrity for Poverty Alleviation in Bangladesh (APAB),"22, Amirabad, Mahedibag R/A, Chittagong-4000
Phone: 031-613028, Fax: 031-
610785",0641,30-07-92,30-07-12,30-07-17,Chittagong,South Korea,,
73,Al-Amanah Samaj Kallayan Sangstha,"Mujgannikhan-A-Sabur Road, PO: Khalishpur, Khulna.
Phone: 041-760406",2027,09-04-05,09-04-10,09-04-15,Khulna,Bangladesh,,
74,Al-Falah Bangladesh,"9/16 Iqbal Road, Mohammadpur, Dhaka
Phone : 8130827 www.alfalah.com.bd.",0417,10-12-90,13-12-15,13-12-20,Dhaka,Bangladesh,,
75,Al-Forqan Foundation,"137 Auspara, Tongi, Gazipur. Phone: 9802014, 9802015
Fax: 9803005",1791,22-01-03,22-01-13,22-01-18,Dhaka,Saudi Arabia,,
76,Allama Abul Khair Foundation,"Vill.: Paruapara, Post: Chunnapara, Upazilla: Anowara, Dist.: Chittagong. Www.aakfoundation.org",2142,08-10-06,08-10-11,08-10-16,Chittagong,Bangladesh,,
77,Allama Fazlullah Foundation,"Vill: Babunagar (Mokkarbari), PO: Deodighi, UZ: Satkania, Dist: Chittagong.
Phone: 031-2551654",1770,01-12-02,01-12-12,01-12-17,Chittagong,Bangladesh,,
78,Alliance for Cooperation and Legal Aid Bangladesh (ACLAB),"8/13, Block-C, Tajmohal Road, Mohammadpur, Dhaka-1207. www.aclabbd.org",2053,01-01-06,12-10-15,12-10-20,Dhaka,Bangladesh,,
79,Al-Manar Islami Sangstha,"Shaltha, Faridpur.",1843,18-06-03,18-06-08,18-06-13,Faridpur,Bangladesh,,
80,ALO,"Arog Chamber, 68 Agrabad C/A, Chittagong
Phone : 711291",1260,03-05-98,,03-05-03,Chittagong,Bangladesh,,
81,Alo (Access Toword Livelihood and Welfare Obsession),"81/01, Nazra Natore, PO: Natore- 6400
Phone: 0771-61255",2102,06-06-06,06-06-11,06-06-16,Natore,Bangladesh,,
82,Aloha Social Services Bangladesh,"Ali Manjil, Balubari, Dinajpur-5200 Phone :0531-64644",1532,07-06-00,07-06-15,07-06-20,Dinajpur,Bangladesh,,
83,Alok Bangla (An Initiative to Promote People's Self-Help),"House-119, Road-07, Shah Ali Bagh, Mirpur-1, Dhaka.
Phone: 9012393",2484,29-09-09,29-09-14,29-09-19,Dhaka,Bangladesh,,
84,Alokito Path,"Montana, Satkania, Chittagong.",2153,06-11-06,06-11-11,06-11-16,Chittagong,Bangladesh,,
85,Alokon,"103/A, Mohammadpur, Pachlaish, Chittagong.
Phone : 01711-122580, 031-650547",1892,09-12-03,09-12-13,09-12-18,Chittagong,Bangladesh,,
86,Alor Disha Mohila Sangstha,"74/3, Satish Chandra Saha Lane, Kustia
Phone: 01711-935253",2453,02-06-09,02-06-14,02-06-19,Kustia,Bangladesh,,
87,Alor Dishari Sangstha (ADS),"Malotinagar, Dubil, Raygonj,Sirajgonj.",2265,26-08-07,,26-08-12,Sirajganj,Bangladesh,,
88,Alor Dishary Mohila Unnayan Sangstha,"Goalanda, Rajbari Phone: 01727-211905",2961,25-08-15,,25-08-20,Dhaka,Bangladesh,,
89,Alor Pothey,"Vill: Madhupur, P.O: Dharoni Bari, P.S: Ulipur, Dist: Kurigram",1124,26-01-97,26-01-12,26-01-17,Kurigram,Bangladesh,,
90,Alor Sandhan Samaj Sebi Sangathan,"Vill. Char Bamaneyrchar Adarsha Gram, P.O.Rowmari, Kurigram",0541,13-10-91,,13-10-96,Kurigram,Bangladesh,,
91,Aloran,"Vill.: West Gomdhandi Prathomic Shikkhak Bhaban, Buripukurpar, Post+Upazilla: Boalkhali, Dist.: Chittagong.
Phone: 01711-487884",2205,08-03-07,08-03-12,08-03-17,Chittagong,Bangladesh,,
92,Aloshika Social Development Organization,"Vill: Auliapur, PO: Maydan Madrasha, Upazila: Patuakhali Sadar, Dist: Patuakhali.
Phone: 01924699282",3012,29-02-16,,28-02-21,Patuakhali,Bangladesh,,
93,Aloshikha Rajihar Social Development Centre,"Vill. & P.O. Rajihar, Agailjhara, Barisal",0324,01-11-89,11-01-14,11-01-19,Barisal,Bangladesh,,
94,Aloshikha Womens Welfare Association,"House-09(4th Floor), Road-02, North Adabor, Baitul Aman Housing Society, Adabor, Dhaka
Phone: 01819-251911",2849,20-02-14,,20-02-19,Dhaka,Bangladesh,,
95,Alternative Approach,"Azim Monjil, Bayrapur, Comilla. Phone: 01915794195",1895,23-12-03,23-12-08,23-12-13,Comilla,Bangladesh,,
96,Alternative Development Initiative,"11/1, Iqbal Road, Block-A (Ground Floor), Mohammdpur, Dhaka Phone : 9126810",0902,18-02-95,18-02-05,18-02-10,Dhaka,Bangladesh,,
97,Alternative Development Society (ADS),"Vill.: Arajigopinatpur, Post: Gowrigram, Upazilla: Sathia, Dist.: Pabna.",2321,23-03-08,23-03-13,23-03-18,Pabna,Bangladesh,,
98,AMAN (Association for Muslim Advancement Network),"2/2, Lalmatia, Block-A, Mirpur Road, Dhaka.
Phone: 01711-486534, Fax: 8356249
www.amanbd.org",0980,19-10-95,19-10-15,19-10-20,Dhaka,Bangladesh,,
99,Amar Hasna Meherun Ness Jano Kallayan Sangstha,"House-05, Road-15, Sector-14, Uttara, Dhaka.",2756,26-12-12,,26-12-17,Dhaka,Bangladesh,,
100,American Center for International Labour Solidarity,"House-09, Road-127, Gulshan-01, Dhaka-1212
Phone: 8828403, Fax: 8820208
www.solidaritycenter.org",0018,22-04-81,15-05-15,15-05-20,Dhaka,USA,,
101,Amity Manab Unnayan Sangstha,"Anwar Tower, Ragunathpur Bazar, Kachua, Dist: Chandpur.
Phone: 01717-005315",2932,21-05-15,,21-05-20,Chandpur,Bangladesh,,
102,Amra Desher Shokti,"Gorostan Road, Biswas Para, Dist: Joypurhat",2815,17-09-13,,17-09-18,Joypurhat,Bangladesh,,
103,Amra Kaj Kory (AKK),"Alhaj Ali Alal Cheste Mohal, Jhiltuly, Faridpur
Phone: 0631-63944",0715,06-06-93,06-06-13,06-06-18,Faridpur,Bangladesh,,
104,Amra Kichhu Kori,"27, Rabindranath Road, Jessore",0951,19-06-95,,19-06-00,Jessore,Bangladesh,,
105,AMRAH,"Vill. Barkal, P.O. Islamabad, Chandanaish, Chittagong Phone: 031-650511",0379,06-05-90,06-05-15,06-05-20,Chittagong,Bangladesh,,
106,Amrai Pari Paribarik Nirzaton Pratirodh Jote,"House-6/4A (3rd Floor), Sir Sayed Road, Mohammadpur, Dhaka Phone: 9130265",2871,23-07-14,,23-07-19,Dhaka,Bangladesh,,
107,Amrock Academy Society,"29/1 Sher-E-Bangla Road, Moila Pota More, Khulna",2657,22-09-11,,22-09-16,Khulna,USA,,
108,AMWAB (Association of Muslim Welfare Agencies in Bangladesh),"Room-01 (2nd Floor), Bangladesh Mosjed complex, New Elephant Road, Katabon, Dhaka-1000 Phone: 8650634, Fax: 8650634",0687,06-03-93,06-03-13,06-03-18,Dhaka,Bangladesh,,
109,An Organization for Socio Economic Development (AOSED),"334, Sher-A-Bangla Road (1st Floor), Khulna-9100
Phone: 041-813574, 041-731931
www.aosed.org",2235,27-05-07,27-05-12,27-05-17,Khulna,Bangladesh,,
110,Anando,"134/3A, Babar Road, Block-A, Mohammadpur, Dhaka.
Phone: 8119760 www.anando-bd.org",1180,18-08-97,18-08-12,18-08-17,Dhaka,Bangladesh,,
111,Anannya Jubo Mohila Samiti (AJMS),"27, Nutunbazar, Approach Road, Khulna-9100
Phone : 041-721934",1743,05-10-02,05-10-07,05-10-12,Khulna,Bangladesh,,
112,Anannya Mohila Samity,"Kacharipara, Satkhira Sadar, Satkhira",0295,18-05-89,18-05-99,18-05-04,Sathkhira,Bangladesh,,
113,Anannya Samaj Kallyan Sangstha,"House-470 (1st Floor), Road-08, DOHS, Baridhara, Dhaka-1206",0955,09-07-95,09-07-10,09-07-15,Dhaka,Bangladesh,,
114,Anderi Hilf Bangladesh,"House-380, Road-28, New DOHS, Mohakhali, Dhaka.
Phone: 01754-445505",2635,06-04-11,06-04-16,06-04-21,Dhaka,Germany,,
115,Andho Kollyan Samity- Patuakhali,"Koler Pukur Par, Patuakhali Phone: 01716-238990",2722,01-08-12,,01-08-17,Patuakhali,Bangladesh,,
116,Angikar Jonokollyan Sangstha,"22, Tatipara, Sylhet-3100
Phone: 0821-711422",1921,01-03-04,01-03-09,01-03-14,Sylhet,Bangladesh,,
117,Angikar Manob Kalyan Kendra,"Goorgola, PS: Kotwali, Dinajpur- 5200
Phone : 0531-65950, Fax: 9136297",1795,02-01-03,10-02-13,10-02-18,Dinajpur,Bangladesh,,
118,Animation Liberate for Organisation (ALO),"Village: Noadagram, P.O.+Dist: Jessore
Phone : 73823",1711,01-04-02,01-04-12,01-04-17,Jessore,Bangladesh,,
119,Anirban Samaj Unnayan Sangstha (ASUS),"Nahar Mansion, Gorosthan Road, Patuaakhali.
Phone: 0441-62066",2334,17-04-08,17-04-13,17-04-18,Patuakhali,Bangladesh,,
120,Ankur ICT Development Foundation,"House No.-65, Road-06, Sector-04, Uttara, Dhaka.
Www.ankur.org.bd",2466,06-07-09,,06-07-14,Dhaka,Bangladesh,,
121,Annanah Sangstha,"27, Senpara Parbata (2nd floor), Sector-2,
Mirpur-1, Dhaka. Phone : 9005638",1185,03-09-97,,03-09-02,Dhaka,Bangladesh,,
122,Annesha Foundation (AF),"31/2, Senpara Parbatta, Mirpur-10, Dhaka.
Phone: 8061693, Fax: 9005638
www.annesha-foundation.org",0549,23-10-91,23-10-11,23-10-16,Dhaka,Bangladesh,,
123,Annopurna Janakallayan Sangstha,"Seroil Railway Market, Block-B, Room-60, Goramara, Boalia, Rajshahi.
Phone: 811399",2839,25-11-13,,25-11-18,Rajshahi,Bangladesh,,
124,Antar Society for Development,"House-14(1st Fl.), Road-12, Block- Kha, Pisciculture Housing society, Shekhertek, Adabor, Mohammadpur, Dhaka-1207 Phone: 9144502, Fax: 9144502",1740,19-09-02,19-09-12,19-09-17,Dhaka,Bangladesh,,
125,Anukul Foundation,"Goalanda, Rajbari Phone: 01727-211905",2972,28-09-15,,28-09-20,Rajbari,Bangladesh,,
126,Anuvab,"Thana Para Road, Boda, Panchagar Phone: 05653-56180, 01712-676857",1473,20-01-00,20-01-10,20-01-15,Panchagar,Bangladesh,,
127,Aparajeyo Bangladesh,"Sornali Garden-Probal,
14/3/A, Baishteki (Opposite BRTA Maingate), Mirpur-13, Dhaka-1216 Phone: 9021261-63, Fax: 9029556
www.aparajeyo.org",0908,21-02-95,21-02-15,21-02-20,Dhaka,Bangladesh,,
128,Apex,"House-83, Road-23, Gulshan-1, Dhaka.
Phone: 01713-046662, 9862109",1645,07-06-01,07-06-16,07-06-21,Dhaka,Bangladesh,,
129,Apex Foundation,"Mulghar Govt. High School More, PO: Mulgar, PS: Fakirhat, Bagerhat Phone: 01818-225120",2884,21-08-14,,21-08-19,Bagerhat,Bangladesh,,
130,Appeal Action for People with Employment and Appropriate Literacy,"Khord Gobindhapur, Post: Hatjikra, Thana: Chargat, Dist.: Rajshahi.",2097,22-05-06,,22-05-11,Rajshahi,Bangladesh,,
131,Arafah Shakti Foundation,"32/8 Ka(3rd Fl.), Block-C, Tajmahal Road, Mohammadpur, Dhaka-1207 Phone: 9123412, 9104581, Fax: 02-
9136697
www.asf.com.bd",2795,19-06-13,,19-06-18,Dhaka,Bangladesh,,
132,ARAM Foundation,"P.O:Rajbati, Thana: Kotwali, Dist: Dinajpur",1606,03-01-01,,03-01-06,Dinajpur,Bangladesh,,
133,Area Develoment Organization (ADO),"Katakhali Bazar Keshabpur, Jessore. Phone:01927-367329",1871,13-09-03,13-09-13,13-09-18,Jessore,Bangladesh,,
134,Arenda Mohila Kallyan Samity (AMKS),"23 Gohata Road, Lohapatti, Jessore.",0988,12-11-95,12-11-00,12-11-05,Jessore,Bangladesh,"Cancelled on 15/04/2010,
Revived on 11/8/2015",
135,ARK Foundation,"132/A, Niketon, Road-3, Gulshan, Dhaka
Phone: 9871585",2837,25-11-13,,25-11-18,Dhaka,Bangladesh,,
136,Arnout Education and Growth Foundation,"152/A (2nd Floor), Benapole Road, Railgate, Chanchra, Jessore  Phone: 01714-086514",2536,01-02-10,,01-02-15,Jessore,Bangladesh,,
137,Arsenic Mitigation and Research Foundation,"Shologhar Bus Stand, Vill: Shologhar, UZ: Sreenagor, Dist: Munshiganj.
Phone: 01711-391521",1844,19-06-03,19-06-13,19-06-18,Munshiganj,Netherlands,,
138,Arshi Nagar Sebamulak Unnayan Sangstha,"LGED Road, Lalmonirhat Sadar, Lalmonirhat-5500
Phone: 01737-908442",2501,25-10-09,25-10-14,25-10-19,Lalmonirhat,Bangladesh,,
139,Arter Asha,"Senpara, Rangpur Phone : 62269",0643,05-08-92,05-08-02,05-08-07,Rangpur,Bangladesh,,
140,Article 19,"House-1/B, Road-01, 2nd Floor, Shaymoli, Dhaka.
Phone: 01713-039669",2705,29-05-12,,29-05-17,Dhaka,UK,,
141,Arto Manobota Unnayan Sangstha(AMUS),"Jel Road, Beltola, Jessore",1408,11-08-99,,11-08-04,Jessore,Bangladesh,,
142,ASA,"23/3, Block # B, Khilji Road, Mohammadpur, Dhaka
Phone :81109345, Fax: 9121861
www.asa.org.bd",0120,14-01-82,14-05-15,14-05-20,Dhaka,Bangladesh,,
143,Asar Alo Mohila Unnayan Sangstha,"Vowakhali, Ratangonj, Narail. Phone: 0481-62005
www.asharslonri.org",1825,30-04-03,30-04-13,30-04-18,Narail,Bangladesh,,
144,ASD-Bangladesh (Association for Sustainable Development in Bangladesh),"House-125(R), Tanteepara, Dist: Magura-7600
Phone: 01715-351758, Fax:
048863329",2131,24-08-06,24-08-11,24-08-16,Magura,Bangladesh,,
145,ASDDW (Association for Social Development & Distressed Welfare),"Vill: Chalna bazar, P.O.: Chalna Bazar, Upazila: Dacope, Dist.: Khulna-9270
Phone: 01721-760833",2551,15-03-10,15-03-15,15-03-20,Khulna,Bangladesh,,
146,Ased Habigonj (Association for Socio Economic Development),"50 Antarango, New Muslim Quarter, Habiganj
Phone: 01915-469393",2895,30-09-14,,30-09-19,Habiganj,Bangladesh,,
